iter	RMSE
0	0.3367298345
1	0.3289161992
2	0.3213189843
3	0.3140048701
4	0.306987515
5	0.300254274
6	0.2936040122
7	0.2871205588
8	0.2808967006
9	0.2747561663
10	0.2689555627
11	0.2632258567
12	0.2578841197
13	0.2525380203
14	0.2474782201
15	0.2423870728
16	0.2376807674
17	0.2332633251
18	0.2287081727
19	0.2244545282
20	0.2201854566
21	0.2161303004
22	0.2121870563
23	0.2084076712
24	0.2046173157
25	0.2011859209
26	0.1978073877
27	0.1944340639
28	0.1912399557
29	0.1880955288
30	0.1850295264
31	0.1821569179
32	0.1791628671
33	0.1765035833
34	0.1739520817
35	0.1713222387
36	0.1687939759
37	0.1663382977
38	0.1640146942
39	0.1617249786
40	0.1595131663
41	0.1573290798
42	0.15522614
43	0.1531738787
44	0.1511990631
45	0.1492604338
46	0.147489609
47	0.1457301692
48	0.1441077653
49	0.1424203935
50	0.1407805878
51	0.1391939082
52	0.1376764735
53	0.1361613887
54	0.134742633
55	0.1333196246
56	0.1318945767
57	0.1305344794
58	0.1292897519
59	0.1280373743
60	0.1268168713
61	0.1256686055
62	0.1245385845
63	0.1233747986
64	0.1223252093
65	0.1213218358
66	0.1203193067
67	0.1192783765
68	0.1183447845
69	0.1173637282
70	0.1164177147
71	0.1155266481
72	0.1146412546
73	0.1138386006
74	0.1130074173
75	0.1122385578
76	0.1115410584
77	0.1108203959
78	0.1101474676
79	0.1094168386
80	0.1086915906
81	0.1079423382
82	0.1072882102
83	0.1065980453
84	0.1059898849
85	0.1053458559
86	0.10474118
87	0.1041922164
88	0.1035572099
89	0.1029505027
90	0.1023677544
91	0.1018383909
92	0.1013689433
93	0.1009020899
94	0.1004275024
95	0.09993688659
96	0.0995032814
97	0.09898442997
98	0.09849585907
99	0.09810201127
100	0.09772742165
101	0.09735581871
102	0.09697938236
103	0.09656743369
104	0.09619673948
105	0.09578007582
106	0.0954230179
107	0.09508590529
108	0.09472164912
109	0.0942411768
110	0.09379114858
111	0.09348810981
112	0.0932029173
113	0.09289919128
114	0.09249886194
115	0.09220314
116	0.091902367
117	0.09148298964
118	0.09116041511
119	0.09084443014
120	0.09058083204
121	0.09020206676
122	0.08995022675
123	0.0896636097
124	0.08936359984
125	0.08907396194
126	0.08882309283
127	0.08860116281
128	0.08835091844
129	0.08813016372
130	0.08779946222
131	0.08756691819
132	0.0872825782
133	0.08704180089
134	0.08684590459
135	0.08665068425
136	0.08644463661
137	0.08618903699
138	0.08598416445
139	0.08572100898
140	0.08545092466
141	0.08526151653
142	0.08506941634
143	0.08490101403
144	0.08466022193
145	0.08447719534
146	0.08431788903
147	0.08411154531
148	0.08389939718
149	0.0837382694
150	0.08357385369
151	0.08340543401
152	0.08323774883
153	0.08304547467
154	0.0829119247
155	0.08275590377
156	0.0825657453
157	0.08237270313
158	0.08222866052
159	0.08202923047
160	0.08186552781
161	0.08170442338
162	0.08157957673
163	0.08145365827
164	0.08121633935
165	0.08108046363
166	0.08094137148
167	0.08076088871
168	0.08064489927
169	0.08045288336
170	0.08034062214
171	0.08017039445
172	0.07995974835
173	0.07978852431
174	0.07964267115
175	0.07953360937
176	0.07939155184
177	0.07924010841
178	0.07914261953
179	0.07898608082
180	0.07887110722
181	0.07877300637
182	0.07867998653
183	0.07858632637
184	0.0784695487
185	0.07838075849
186	0.07824581416
187	0.0781121385
188	0.07801083021
189	0.07790317995
190	0.0778251213
191	0.07771513801
192	0.07752894016
193	0.07739412744
194	0.07731765993
195	0.0772317834
196	0.07710801584
197	0.07698000602
198	0.07682801897
199	0.07675305506
200	0.07665858139
201	0.07657205808
202	0.07647747572
203	0.0763655708
204	0.07623763062
205	0.07617026404
206	0.07610586585
207	0.07602713674
208	0.0758953322
209	0.07574137351
210	0.07565381417
211	0.07551337937
212	0.07535096529
213	0.07525210863
214	0.07514199679
215	0.07505164837
216	0.07496226821
217	0.07487048613
218	0.07473404758
219	0.07464814688
220	0.07454659397
221	0.07444841395
222	0.074386097
223	0.07433430162
224	0.07421284603
225	0.07415983082
226	0.07406387833
227	0.0739831044
228	0.07386797033
229	0.07378642011
230	0.07373349207
231	0.07365450419
232	0.07357501108
233	0.07347248971
234	0.07339107032
235	0.07329725944
236	0.07320561141
237	0.07309953498
238	0.07302249547
239	0.07295039028
240	0.07288961161
241	0.07278400527
242	0.07270058786
243	0.07265494934
244	0.07253184361
245	0.07246736013
246	0.07239876098
247	0.07235243093
248	0.07227925238
249	0.07217912369
250	0.07210451543
251	0.07199055252
252	0.07193916505
253	0.07185953151
254	0.07178831179
255	0.07173032826
256	0.07166609155
257	0.0716105095
258	0.07156483915
259	0.07148557254
260	0.07144706495
261	0.07135389108
262	0.07131805151
263	0.07120205436
264	0.07113039582
265	0.07106679444
266	0.07100134252
267	0.07088266666
268	0.07079494366
269	0.07068041623
270	0.07063371628
271	0.07053287613
272	0.07047430232
273	0.07037467228
274	0.07032125899
275	0.07024269773
276	0.07016509822
277	0.07009633145
278	0.07004571793
279	0.06998813877
280	0.06994088472
281	0.06987718962
282	0.06983542422
283	0.06978470911
284	0.06974450863
285	0.06964920983
